Time,Postmile (Abs),Postmile (CA),VDS,Speed,# Lane Points,% Observed
0:00,24.06,.11,771826,69.58,288,100.00
0:00,24.55,.6,717696,68.22,288,100.00
0:00,25.05,1.1,718219,68.43,288,100.00
0:00,25.68,1.73,717701,68.12,288,95.83
0:00,26.40,2.45,717703,63.93,288,0.00
0:00,26.69,2.74,718227,67.93,360,0.00
0:00,27.23,3.28,717706,71.33,360,90.00
0:00,27.39,3.44,717709,70.48,360,100.00
0:00,27.77,3.82,716632,70.93,360,100.00
0:00,28.16,4.21,771845,56.08,360,81.94
0:00,28.52,4.57,717711,64.00,288,0.00
0:00,28.76,4.81,717713,67.55,288,100.00
0:00,28.87,4.92,717715,68.12,288,100.00
0:00,29.41,5.46,717717,68.68,360,80.00
0:00,29.76,5.99,717719,66.80,360,0.00
0:00,30.04,6.27,717720,68.00,288,100.00
0:00,30.33,6.56,717721,66.67,360,0.00
0:00,30.55,6.78,771863,70.62,432,100.00
0:00,30.99,7.22,717723,68.28,288,100.00
0:00,31.40,7.63,771877,66.62,216,100.00
0:00,31.79,8.02,717727,69.80,288,100.00
0:00,32.22,8.45,771898,69.57,360,100.00
0:00,32.46,8.69,717729,69.48,360,100.00
0:00,32.86,9.09,771915,71.02,360,100.00
0:00,33.24,9.47,718251,65.57,288,0.00
0:00,33.80,10.03,775936,68.23,288,100.00
0:00,34.43,10.66,717733,68.13,288,100.00
0:00,34.67,10.9,771939,68.45,288,100.00
0:00,35.09,11.32,717735,68.37,288,100.00
0:00,35.59,11.82,716659,69.20,360,0.00
0:00,35.82,12.05,766505,66.30,360,0.00
0:00,36.34,12.57,718259,67.90,360,80.00
0:00,36.95,13.18,716663,69.78,288,100.00
0:00,37.08,13.31,717740,69.17,360,100.00
0:00,37.58,13.81,717742,67.00,288,0.00
0:00,38.11,14.34,717744,65.15,288,50.00
0:00,38.73,14.96,716670,66.72,288,100.00
0:00,39.20,15.43,718266,67.45,288,100.00
0:00,39.77,16,718267,66.43,288,75.00
0:00,40.43,16.66,717750,62.40,288,0.00
0:00,40.78,17.01,717752,66.47,288,94.44
